Vollcode,aggregatie,Naam,code
"A01a","Buurt 2015","Stationsplein e.o.","01a"
"E14a","Buurt 2015","De Wittenbuurt Noord","14a"
"N60b","Buurt 2015","Bloemenbuurt Zuid","60b"
"T94f","Buurt 2015","K-buurt Midden","94f"
"M34a","Buurt 2015","Zeeburgereiland Noordwest","34a"
"M35e","Buurt 2015","Haveneiland Noordwest","35e"
"M50c","Buurt 2015","Middeneiland Noordoost","50c"
"A04d","Buurt 2015","Lastage","04d"
"E16a","Buurt 2015","Frederik Hendrikbuurt Noord","16a"
"E14c","Buurt 2015","Staatsliedenbuurt Noordoost","14c"
"N62a","Buurt 2015","Tuindorp Nieuwendam West","62a"
"E13h","Buurt 2015","Overbraker Binnenpolder","13h"
"T92f","Buurt 2015","AMC","92f"
"A09c","Buurt 2015","Wittenburg","09c"
"M57c","Buurt 2015","Drieburg","57c"
"K45b","Buurt 2015","Schinkelbuurt Zuid","45b"
"A01g","Buurt 2015","Begijnhofbuurt","01g"
"F87c","Buurt 2015","Delflandpleinbuurt Oost","87c"
"A00e","Buurt 2015","BG-terrein e.o.","00e"
"N72a","Buurt 2015","Bedrijventerrein Hamerstraat","72a"
"F81e","Buurt 2015","Osdorp Zuidoost","81e"
"M34g","Buurt 2015","Zeeburgereiland Noordoost","34g"
"A08b","Buurt 2015","Sarphatistrook","08b"
"E41b","Buurt 2015","Jan Maijenbuurt","41b"
"B10c","Buurt 2015","Petroleumhaven","10c"
"M33h","Buurt 2015","Architectenbuurt","33h"
"B10d","Buurt 2015","Westhaven Noord","10d"
"B10h","Buurt 2015","Westhaven Zuid","10h"
"F78a","Buurt 2015","Buurt 6","78a"
"N70f","Buurt 2015","Marjoleinterrein","70f"
"M35f","Buurt 2015","Haveneiland Noordoost","35f"
"T98a","Buurt 2015","Dorp Driemond","98a"
"A06d","Buurt 2015","Marnixbuurt Noord","06d"
"K46c","Buurt 2015","Willemsparkbuurt Noord","46c"
"M35a","Buurt 2015","Steigereiland Noord","35a"
"F84c","Buurt 2015","De Aker Oost","84c"
"E42b","Buurt 2015","Columbusplein e.o.","42b"
"M56d","Buurt 2015","Sportpark Middenmeer Zuid","56d"
"E14b","Buurt 2015","De Wittenbuurt Zuid","14b"
"M32d","Buurt 2015","Flevopark","32d"
